timestamp,cotovelo_direito,ombro_direito,quadril_direito
79.17934370040894,179.1106182975393,,
79.23168730735779,177.9975294654985,,
79.29232573509216,179.0383491454865,,
79.34499287605286,178.71352105357445,,
79.39821767807007,177.78928010906944,,
79.44831395149231,176.75452659066738,,
79.49700164794922,176.08753993312203,107.20221545553586,168.76231397516037
79.55079221725464,175.23952002377055,106.62905397669398,158.02625431591784
79.59902143478394,174.9842363138242,106.46912043346678,173.34985088578617
79.65236616134644,175.14052916900818,106.65713003225876,170.3736579840113
79.71259999275208,175.64933873989116,107.308679298673,145.75478584910124
79.7680881023407,177.36255338353354,108.54090986387887,161.541681698617
79.82912874221802,177.38305637979545,108.93474273672598,59.61548326867915
79.87800860404968,177.14807102860613,109.38856022571386,52.59513429008171
79.93728113174438,177.23835006000314,109.99951906920086,80.58926751832175
79.98582196235657,176.54197493350844,110.25087401290807,118.00881649171282
80.0341215133667,174.07655397283182,109.71315664940093,40.00259010427834
80.08099627494812,117.2053848006819,75.72303552367569,176.34396114377984
80.1223521232605,98.22158992897857,65.4777997066352,178.29589029329418
80.18332242965698,90.47376729029085,61.53586721427011,179.85529664722895
80.2473042011261,85.33901188814737,59.50051960503701,179.23977920174394
80.30218482017517,83.10872849129207,,
80.35069680213928,172.47480050958964,,
80.3995430469513,148.34786222502615,,
80.44784784317017,151.72223455831536,,
80.49669027328491,148.02596767246575,,
80.556893825531,141.6033662553578,,
80.60923171043396,139.7752129088715,,
80.65906858444214,143.68111229023984,,
80.7113995552063,142.64209038940308,,
