timestamp,cotovelo_direito,cotovelo_esquerdo
15.336966037750244,8.912398571652103,67.81783654073459
15.45985722541809,8.265006052788205,67.55861032443774
15.56591796875,13.955718200513855,68.78809121791492
15.696348428726196,13.928121125768765,75.6757049938691
15.837471008300781,,85.50489163420212
15.95142650604248,15.958070236289245,94.9672613224013
16.042994737625122,114.67416075200096,104.14107590253496
16.138856887817383,116.33519079040158,108.4638901316281
16.230098724365234,118.55058630684789,111.85027643266375
16.327075242996216,120.08620495975376,115.92716665703418
16.44305729866028,122.81974904680911,118.65335230217418
16.576846837997437,124.67254515413252,124.37486613643684
16.720625162124634,125.08068709722534,125.91784101941352
16.81613540649414,126.53989678869584,125.10239052000146
16.899903297424316,,125.41714855394515
17.01452922821045,,128.8169189413563
17.187572479248047,140.02660349275675,138.32060540827268
17.37716293334961,139.9462254153083,143.1159502557077
17.610536575317383,136.36446142242193,135.92473363342296
17.86763072013855,102.53163566545804,102.14288440685424
18.04694938659668,18.84530434804211,70.111920520685
18.17538285255432,,35.58252605590313
18.868621110916138,28.381182861257127,
23.353431701660156,25.595060438200775,
23.45655393600464,25.472509640174348,
23.582624197006226,28.431018255323078,
23.709661722183228,28.612660845342084,
23.819812774658203,28.48314410367699,
23.922890663146973,28.270766899271198,
24.36740732192993,55.69946358901406,
