timestamp,cotovelo_direito,tornozelo_direito
7.2177534103393555,87.52615206305295,
7.278386354446411,90.23808442742636,
7.327920436859131,93.50963700624393,
7.368703603744507,93.99041920445526,
7.413293838500977,95.14539754945744,
7.4687395095825195,95.12817995840302,
7.509804010391235,94.34814247666756,
7.568804740905762,95.21634546738538,
7.605928421020508,94.15401608773048,
7.6570725440979,93.09031584204344,
7.713496923446655,92.41335871083336,
7.752570152282715,92.50452587081898,
7.79924750328064,92.92302222099441,
7.856022834777832,93.00915760989007,
7.896254062652588,93.1129295315855,
7.946160793304443,92.34231747951962,
8.005305290222168,91.65534901040026,116.34521711976303
8.042569637298584,92.21065963404484,140.4667833155916
8.124856233596802,93.32311068879564,139.48426812304757
8.184244871139526,105.81451927296239,141.21472341642996
8.223456144332886,112.336619219393,155.17567322450267
8.289486646652222,105.36561930561105,
8.339463949203491,61.64240348849408,
8.388501644134521,54.33791625179752,
8.435925006866455,50.95968103716576,
8.497889995574951,145.8988520962726,
8.532705545425415,147.76959265641707,
8.581421852111816,145.74566477694128,
8.630931377410889,146.0929683225199,
8.678848266601562,142.6241653485013,
